Артикул,Пристрій,Клас,К-ть пропозицій,Найкраща ціна $,Постачальник,Всі пропозиції
U.008.000-020,"Apple iPhone 14, Apple iPhone 15",АКБ без калібрування,9,6.12,ocapro,6.12$ ocapro (Опт — Акумулятор iPhone 15 ORIG Банка 3349 mAh стандартна ємність) | 6.58$ ocapro (Роздріб — Акумулятор iPhone 15 ORIG Банка 3349 mAh стандартна ємність) | 7.53$ ocapro (Опт — Акумулятор iPhone 15 ORIG Банка підвищена ємність 3640 mAh) | 7.76$ ocapro (Опт — Акумулятор iPhone 15 ORIG Банка підвищена ємність 3640 mAh (Logo)) | 8.06$ ocapro (Роздріб — Акумулятор iPhone 15 ORIG Банка підвищена ємність 3640 mAh) | 8.31$ ocapro (Роздріб — Акумулятор iPhone 15 ORIG Банка підвищена ємність 3640 mAh (Logo)) | 9.0$ icracked (Банка (АКБ без контроллера)) | 16.0$ icracked (Стандарт 🔄 вживана деталь 100% - 0 циклів) | 17.0$ icracked (Посилена 💪🏼 + лого🍏 🔄 вживана деталь 100% - 0 циклів)
U.019.000-008,Apple IPhone 14,Шлейф з датчиком наближення,0,,,
U.021.000-004,Apple IPhone 14,Динамік верхній (Speaker),0,,,
U.022.000-004,Apple IPhone 14,Динамік нижній (Buzzer),0,,,
U.023.000-040,Apple IPhone 14,Дисплейний модуль,0,,,
U.023.000-020,Apple IPhone 14,Дисплейний модуль,0,,,
U.023.000-080,Apple IPhone 14,Дисплейний модуль,0,,,
U.023.000-081,Apple IPhone 14,Дисплейний модуль,0,,,
U.024.000-001,Apple IPhone 14,Кришка корпусу задня з обвісом,0,,,
U.024.000-002,Apple IPhone 14,Кришка корпусу задня з обвісом,0,,,
U.024.000-003,Apple IPhone 14,Кришка корпусу задня з обвісом,0,,,
U.024.000-004,Apple IPhone 14,Кришка корпусу задня з обвісом,0,,,
U.024.000-005,Apple IPhone 14,Кришка корпусу задня з обвісом,0,,,
U.024.000-006,Apple IPhone 14,Кришка корпусу задня з обвісом,0,,,
U.025.000-002,Apple IPhone 14,Камера основна без лідару,0,,,
U.025.000-005,Apple IPhone 14,Камера основна без лідару,0,,,
U.035.000-001,Apple IPhone 14,Комплект скла основної камери,2,1.39,ocapro,1.39$ ocapro (Опт — Скло камери iPhone 14 ORIG 2 шт.) | 1.49$ ocapro (Роздріб — Скло камери iPhone 14 ORIG 2 шт.)
U.061-000.019,Apple IPhone 14,Скло дисплейного модулю,22,1.65,ocapro,1.65$ ocapro (Опт — Скло дисплея iPhone 14 ORIG 1:1) | 1.76$ ocapro (Роздріб — Скло дисплея iPhone 14 ORIG 1:1) | 1.9$ refparts (Великий опт — Скло+ОСА MUSTTBY iPhone 14) | 1.95$ refparts (Середній опт — Скло+ОСА MUSTTBY iPhone 14) | 2.0$ ocapro (Опт — Скло дисплея iPhone 14+OCA ORIG 1:1) | 2.15$ ocapro (Роздріб — Скло дисплея iPhone 14+OCA ORIG 1:1) | 2.15$ refparts (Великий опт — Скло+ОСА G+OCA pro iPhone 14) | 2.2$ refparts (Середній опт — Скло+ОСА G+OCA pro iPhone 14) | 2.25$ refparts (Дрібний опт — Скло+ОСА G+OCA pro iPhone 14) | 2.3$ refparts (Дрібний опт — Скло+ОСА MUSTTBY iPhone 14) | 2.5$ refparts (Великий опт — Скло+ОСА+поляр G+OCA pro iPhone 14) | 2.55$ refparts (Середній опт — Скло+ОСА+поляр G+OCA pro iPhone 14) | 2.6$ refparts (Дрібний опт — Скло+ОСА+поляр G+OCA pro iPhone 14) | 2.77$ ocapro (Опт — Скло дисплея iPhone 14+Т-OCA ORIG 1:1) | 2.85$ refparts (Великий опт — Скло+ОСА Feaglet iPhone 14) | 2.9$ refparts (Середній опт — Скло+ОСА Feaglet iPhone 14) | 2.95$ refparts (Дрібний опт — Скло+ОСА Feaglet iPhone 14) | 2.96$ ocapro (Роздріб — Скло дисплея iPhone 14+Т-OCA ORIG 1:1) | 3.06$ ocapro (Опт — Скло дисплея iPhone 14+Polar+OCA ORIG 1:1) | 3.27$ ocapro (Роздріб — Скло дисплея iPhone 14+Polar+OCA ORIG 1:1) | 3.3$ ocapro (Опт — Скло дисплея iPhone 14 + OCA ORIG 1:1 (Feaglet)) | 3.53$ ocapro (Роздріб — Скло дисплея iPhone 14 + OCA ORIG 1:1 (Feaglet))
U.061.000-028,Apple IPhone 14,Скло дисплейного модулю,22,1.65,ocapro,1.65$ ocapro (Опт — Скло дисплея iPhone 14 ORIG 1:1) | 1.76$ ocapro (Роздріб — Скло дисплея iPhone 14 ORIG 1:1) | 1.9$ refparts (Великий опт — Скло+ОСА MUSTTBY iPhone 14) | 1.95$ refparts (Середній опт — Скло+ОСА MUSTTBY iPhone 14) | 2.0$ ocapro (Опт — Скло дисплея iPhone 14+OCA ORIG 1:1) | 2.15$ ocapro (Роздріб — Скло дисплея iPhone 14+OCA ORIG 1:1) | 2.15$ refparts (Великий опт — Скло+ОСА G+OCA pro iPhone 14) | 2.2$ refparts (Середній опт — Скло+ОСА G+OCA pro iPhone 14) | 2.25$ refparts (Дрібний опт — Скло+ОСА G+OCA pro iPhone 14) | 2.3$ refparts (Дрібний опт — Скло+ОСА MUSTTBY iPhone 14) | 2.5$ refparts (Великий опт — Скло+ОСА+поляр G+OCA pro iPhone 14) | 2.55$ refparts (Середній опт — Скло+ОСА+поляр G+OCA pro iPhone 14) | 2.6$ refparts (Дрібний опт — Скло+ОСА+поляр G+OCA pro iPhone 14) | 2.77$ ocapro (Опт — Скло дисплея iPhone 14+Т-OCA ORIG 1:1) | 2.85$ refparts (Великий опт — Скло+ОСА Feaglet iPhone 14) | 2.9$ refparts (Середній опт — Скло+ОСА Feaglet iPhone 14) | 2.95$ refparts (Дрібний опт — Скло+ОСА Feaglet iPhone 14) | 2.96$ ocapro (Роздріб — Скло дисплея iPhone 14+Т-OCA ORIG 1:1) | 3.06$ ocapro (Опт — Скло дисплея iPhone 14+Polar+OCA ORIG 1:1) | 3.27$ ocapro (Роздріб — Скло дисплея iPhone 14+Polar+OCA ORIG 1:1) | 3.3$ ocapro (Опт — Скло дисплея iPhone 14 + OCA ORIG 1:1 (Feaglet)) | 3.53$ ocapro (Роздріб — Скло дисплея iPhone 14 + OCA ORIG 1:1 (Feaglet))
U.061.000-078,Apple IPhone 14,Скло дисплейного модулю,22,1.65,ocapro,1.65$ ocapro (Опт — Скло дисплея iPhone 14 ORIG 1:1) | 1.76$ ocapro (Роздріб — Скло дисплея iPhone 14 ORIG 1:1) | 1.9$ refparts (Великий опт — Скло+ОСА MUSTTBY iPhone 14) | 1.95$ refparts (Середній опт — Скло+ОСА MUSTTBY iPhone 14) | 2.0$ ocapro (Опт — Скло дисплея iPhone 14+OCA ORIG 1:1) | 2.15$ ocapro (Роздріб — Скло дисплея iPhone 14+OCA ORIG 1:1) | 2.15$ refparts (Великий опт — Скло+ОСА G+OCA pro iPhone 14) | 2.2$ refparts (Середній опт — Скло+ОСА G+OCA pro iPhone 14) | 2.25$ refparts (Дрібний опт — Скло+ОСА G+OCA pro iPhone 14) | 2.3$ refparts (Дрібний опт — Скло+ОСА MUSTTBY iPhone 14) | 2.5$ refparts (Великий опт — Скло+ОСА+поляр G+OCA pro iPhone 14) | 2.55$ refparts (Середній опт — Скло+ОСА+поляр G+OCA pro iPhone 14) | 2.6$ refparts (Дрібний опт — Скло+ОСА+поляр G+OCA pro iPhone 14) | 2.77$ ocapro (Опт — Скло дисплея iPhone 14+Т-OCA ORIG 1:1) | 2.85$ refparts (Великий опт — Скло+ОСА Feaglet iPhone 14) | 2.9$ refparts (Середній опт — Скло+ОСА Feaglet iPhone 14) | 2.95$ refparts (Дрібний опт — Скло+ОСА Feaglet iPhone 14) | 2.96$ ocapro (Роздріб — Скло дисплея iPhone 14+Т-OCA ORIG 1:1) | 3.06$ ocapro (Опт — Скло дисплея iPhone 14+Polar+OCA ORIG 1:1) | 3.27$ ocapro (Роздріб — Скло дисплея iPhone 14+Polar+OCA ORIG 1:1) | 3.3$ ocapro (Опт — Скло дисплея iPhone 14 + OCA ORIG 1:1 (Feaglet)) | 3.53$ ocapro (Роздріб — Скло дисплея iPhone 14 + OCA ORIG 1:1 (Feaglet))
U.066.000-001,Apple IPhone 14,Чіп захисту ДМ,0,,,
U.072.000-001,Apple IPhone 14,Шлейф із зарядкою та мікрофоном,0,,,
U.074.000-001,Apple IPhone 14,"Шлейф зі спалахом, мікрофоном і бездротовою зарядкою",0,,,
U.075.000-005,Apple IPhone 14,Шлейф кнопок гучності і вмикання,0,,,
U.076.000-002,Apple IPhone 14,Шлейф модулю Bluetooth/NFC,0,,,
U.078.000-001,Apple IPhone 14,Шлейф модулю WiFi,0,,,
U.080.000-001,Apple IPhone 14,Шлейф нижнього доку (в зборі),0,,,
U.085.000-003,Apple IPhone 14,Камера фронтальна без FaceID,0,,,
U.118.000-004,Apple IPhone 14,Трафарет,1,4.0,uparts,4.0$ uparts (Ціна — Трафарет Amaoe BGA 0.12mm Apple iPhone 14)
U.123.000-001,Apple IPhone 14,"Кришка корпусу задня зі склом камери, магнітами та NFC",0,,,
U.123.000-002,Apple IPhone 14,"Кришка корпусу задня зі склом камери, магнітами та NFC",0,,,
U.123.000-003,Apple IPhone 14,"Кришка корпусу задня зі склом камери, магнітами та NFC",0,,,
U.123.000-004,Apple IPhone 14,"Кришка корпусу задня зі склом камери, магнітами та NFC",0,,,
U.123.000-005,Apple IPhone 14,"Кришка корпусу задня зі склом камери, магнітами та NFC",0,,,
U.123.000-006,Apple IPhone 14,"Кришка корпусу задня зі склом камери, магнітами та NFC",0,,,
U.024.000-033,Apple IPhone 14,Кришка корпусу задня з обвісом,0,,,
U.024.000-036,Apple iPhone 14,Кришка корпусу задня з обвісом,0,,,
U.134.000-008,Apple IPhone 14,Рамка корпуса,0,,,
U.134.000-009,Apple IPhone 14,Рамка корпуса,0,,,
U.134.000-025,Apple IPhone 14,Рамка корпуса,0,,,
U.134.000-011,Apple IPhone 14,Рамка корпуса,0,,,
U.134.000-012,Apple IPhone 14,Рамка корпуса,0,,,
U.134.000-013,Apple IPhone 14,Рамка корпуса,0,,,
U.134.000-014,Apple IPhone 14,Рамка корпуса,0,,,
U.134.000-015,Apple IPhone 14,Рамка корпуса,0,,,
U.134.000-016,Apple IPhone 14,Рамка корпуса,0,,,
U.134.000-017,Apple IPhone 14,Рамка корпуса,0,,,
U.061.000-056,Apple IPhone 14,Скло дисплейного модулю,22,1.65,ocapro,1.65$ ocapro (Опт — Скло дисплея iPhone 14 ORIG 1:1) | 1.76$ ocapro (Роздріб — Скло дисплея iPhone 14 ORIG 1:1) | 1.9$ refparts (Великий опт — Скло+ОСА MUSTTBY iPhone 14) | 1.95$ refparts (Середній опт — Скло+ОСА MUSTTBY iPhone 14) | 2.0$ ocapro (Опт — Скло дисплея iPhone 14+OCA ORIG 1:1) | 2.15$ ocapro (Роздріб — Скло дисплея iPhone 14+OCA ORIG 1:1) | 2.15$ refparts (Великий опт — Скло+ОСА G+OCA pro iPhone 14) | 2.2$ refparts (Середній опт — Скло+ОСА G+OCA pro iPhone 14) | 2.25$ refparts (Дрібний опт — Скло+ОСА G+OCA pro iPhone 14) | 2.3$ refparts (Дрібний опт — Скло+ОСА MUSTTBY iPhone 14) | 2.5$ refparts (Великий опт — Скло+ОСА+поляр G+OCA pro iPhone 14) | 2.55$ refparts (Середній опт — Скло+ОСА+поляр G+OCA pro iPhone 14) | 2.6$ refparts (Дрібний опт — Скло+ОСА+поляр G+OCA pro iPhone 14) | 2.77$ ocapro (Опт — Скло дисплея iPhone 14+Т-OCA ORIG 1:1) | 2.85$ refparts (Великий опт — Скло+ОСА Feaglet iPhone 14) | 2.9$ refparts (Середній опт — Скло+ОСА Feaglet iPhone 14) | 2.95$ refparts (Дрібний опт — Скло+ОСА Feaglet iPhone 14) | 2.96$ ocapro (Роздріб — Скло дисплея iPhone 14+Т-OCA ORIG 1:1) | 3.06$ ocapro (Опт — Скло дисплея iPhone 14+Polar+OCA ORIG 1:1) | 3.27$ ocapro (Роздріб — Скло дисплея iPhone 14+Polar+OCA ORIG 1:1) | 3.3$ ocapro (Опт — Скло дисплея iPhone 14 + OCA ORIG 1:1 (Feaglet)) | 3.53$ ocapro (Роздріб — Скло дисплея iPhone 14 + OCA ORIG 1:1 (Feaglet))
U.061.000-069,Apple iPhone 14,Скло дисплейного модулю,22,1.65,ocapro,1.65$ ocapro (Опт — Скло дисплея iPhone 14 ORIG 1:1) | 1.76$ ocapro (Роздріб — Скло дисплея iPhone 14 ORIG 1:1) | 1.9$ refparts (Великий опт — Скло+ОСА MUSTTBY iPhone 14) | 1.95$ refparts (Середній опт — Скло+ОСА MUSTTBY iPhone 14) | 2.0$ ocapro (Опт — Скло дисплея iPhone 14+OCA ORIG 1:1) | 2.15$ ocapro (Роздріб — Скло дисплея iPhone 14+OCA ORIG 1:1) | 2.15$ refparts (Великий опт — Скло+ОСА G+OCA pro iPhone 14) | 2.2$ refparts (Середній опт — Скло+ОСА G+OCA pro iPhone 14) | 2.25$ refparts (Дрібний опт — Скло+ОСА G+OCA pro iPhone 14) | 2.3$ refparts (Дрібний опт — Скло+ОСА MUSTTBY iPhone 14) | 2.5$ refparts (Великий опт — Скло+ОСА+поляр G+OCA pro iPhone 14) | 2.55$ refparts (Середній опт — Скло+ОСА+поляр G+OCA pro iPhone 14) | 2.6$ refparts (Дрібний опт — Скло+ОСА+поляр G+OCA pro iPhone 14) | 2.77$ ocapro (Опт — Скло дисплея iPhone 14+Т-OCA ORIG 1:1) | 2.85$ refparts (Великий опт — Скло+ОСА Feaglet iPhone 14) | 2.9$ refparts (Середній опт — Скло+ОСА Feaglet iPhone 14) | 2.95$ refparts (Дрібний опт — Скло+ОСА Feaglet iPhone 14) | 2.96$ ocapro (Роздріб — Скло дисплея iPhone 14+Т-OCA ORIG 1:1) | 3.06$ ocapro (Опт — Скло дисплея iPhone 14+Polar+OCA ORIG 1:1) | 3.27$ ocapro (Роздріб — Скло дисплея iPhone 14+Polar+OCA ORIG 1:1) | 3.3$ ocapro (Опт — Скло дисплея iPhone 14 + OCA ORIG 1:1 (Feaglet)) | 3.53$ ocapro (Роздріб — Скло дисплея iPhone 14 + OCA ORIG 1:1 (Feaglet))
U.069.000-009,Apple IPhone 14,Шлейф верхній з датчиком світла,0,,,
U.154.000-001,Apple IPhone 14,Форма для пресу,0,,,
U.154.000-005,Apple IPhone 14,Форма для пресу,0,,,
U.008.000-010,Apple IPhone 14 Pro,АКБ без калібрування,9,8.51,ocapro,8.51$ ocapro (Опт — Акумулятор iPhone 14 pro ORIG Банка 3200 mAh стандартна ємність) | 9.17$ ocapro (Роздріб — Акумулятор iPhone 14 pro ORIG Банка 3200 mAh стандартна ємність) | 9.64$ ocapro (Опт — Акумулятор iPhone 14 Pro ORIG Банка підвищена ємність 3490 mAh (Logo)) | 9.88$ ocapro (Опт — Акумулятор iPhone 14 Pro ORIG Банка підвищена ємність 3490 mAh) | 10.0$ icracked (Банка (АКБ без контроллера)) | 10.32$ ocapro (Роздріб — Акумулятор iPhone 14 Pro ORIG Банка підвищена ємність 3490 mAh (Logo)) | 10.58$ ocapro (Роздріб — Акумулятор iPhone 14 Pro ORIG Банка підвищена ємність 3490 mAh) | 19.0$ icracked (Стандарт 🔄 вживана деталь 100% - 0 циклів) | 19.0$ icracked (Посилена 💪🏼 + лого🍏 🔄 вживана деталь 100% - 0 циклів)
U.009.000-069,Apple IPhone 14 Pro,АКБ з калібруванням,5,13.17,ocapro,13.17$ ocapro (Опт — Акумулятор iPhone 14 PRO ORIG 3490 mAh) | 14.1$ ocapro (Роздріб — Акумулятор iPhone 14 PRO ORIG 3490 mAh) | 16.12$ ocapro (Опт — Акумулятор iPhone 14 PRO ORIG IOS 18/26 без помилки 3490 mAh) | 17.19$ ocapro (Роздріб — Акумулятор iPhone 14 PRO ORIG IOS 18/26 без помилки 3490 mAh) | 35.0$ icracked (Посилена 💪🏼З лого🍏 Genuine batteries ✅ Оригінальна деталь 100% - 0 циклів)
U.009.000-003,Apple IPhone 14 Pro,АКБ з калібруванням,5,13.17,ocapro,13.17$ ocapro (Опт — Акумулятор iPhone 14 PRO ORIG 3490 mAh) | 14.1$ ocapro (Роздріб — Акумулятор iPhone 14 PRO ORIG 3490 mAh) | 16.12$ ocapro (Опт — Акумулятор iPhone 14 PRO ORIG IOS 18/26 без помилки 3490 mAh) | 17.19$ ocapro (Роздріб — Акумулятор iPhone 14 PRO ORIG IOS 18/26 без помилки 3490 mAh) | 35.0$ icracked (Посилена 💪🏼З лого🍏 Genuine batteries ✅ Оригінальна деталь 100% - 0 циклів)
U.009.000-009,Apple IPhone 14 Pro,АКБ з калібруванням,5,13.17,ocapro,13.17$ ocapro (Опт — Акумулятор iPhone 14 PRO ORIG 3490 mAh) | 14.1$ ocapro (Роздріб — Акумулятор iPhone 14 PRO ORIG 3490 mAh) | 16.12$ ocapro (Опт — Акумулятор iPhone 14 PRO ORIG IOS 18/26 без помилки 3490 mAh) | 17.19$ ocapro (Роздріб — Акумулятор iPhone 14 PRO ORIG IOS 18/26 без помилки 3490 mAh) | 35.0$ icracked (Посилена 💪🏼З лого🍏 Genuine batteries ✅ Оригінальна деталь 100% - 0 циклів)
U.009.000-012,Apple IPhone 14 Pro,АКБ з калібруванням,5,13.17,ocapro,13.17$ ocapro (Опт — Акумулятор iPhone 14 PRO ORIG 3490 mAh) | 14.1$ ocapro (Роздріб — Акумулятор iPhone 14 PRO ORIG 3490 mAh) | 16.12$ ocapro (Опт — Акумулятор iPhone 14 PRO ORIG IOS 18/26 без помилки 3490 mAh) | 17.19$ ocapro (Роздріб — Акумулятор iPhone 14 PRO ORIG IOS 18/26 без помилки 3490 mAh) | 35.0$ icracked (Посилена 💪🏼З лого🍏 Genuine batteries ✅ Оригінальна деталь 100% - 0 циклів)
U.009.000-079,Apple IPhone 14 Pro,АКБ з калібруванням,5,13.17,ocapro,13.17$ ocapro (Опт — Акумулятор iPhone 14 PRO ORIG 3490 mAh) | 14.1$ ocapro (Роздріб — Акумулятор iPhone 14 PRO ORIG 3490 mAh) | 16.12$ ocapro (Опт — Акумулятор iPhone 14 PRO ORIG IOS 18/26 без помилки 3490 mAh) | 17.19$ ocapro (Роздріб — Акумулятор iPhone 14 PRO ORIG IOS 18/26 без помилки 3490 mAh) | 35.0$ icracked (Посилена 💪🏼З лого🍏 Genuine batteries ✅ Оригінальна деталь 100% - 0 циклів)
U.014.000-003,Apple IPhone 14 Pro,Вібро-мотор,0,,,
U.014.000-011,Apple iPhone 14,Вібро-мотор,0,,,
U.016.000-001,Apple IPhone 14 Pro,Гвинти фіксуючі (дисплейні),0,,,
U.016.000-002,Apple IPhone 14 Pro,Гвинти фіксуючі (дисплейні),0,,,
U.016.000-003,Apple IPhone 14 Pro,Гвинти фіксуючі (дисплейні),0,,,
U.016.000-004,Apple IPhone 14 Pro,Гвинти фіксуючі (дисплейні),0,,,
U.016.000-047,Apple iPhone 14,Гвинти фіксуючі (дисплейні),0,,,
U.016.000-048,Apple iPhone 14,Гвинти фіксуючі (дисплейні),0,,,
U.016.000-049,Apple iPhone 14,Гвинти фіксуючі (дисплейні),0,,,
U.016.000-050,Apple iPhone 14,Гвинти фіксуючі (дисплейні),0,,,
U.016.000-051,Apple iPhone 14,Гвинти фіксуючі (дисплейні),0,,,
U.016.000-052,Apple iPhone 14,Гвинти фіксуючі (дисплейні),0,,,
U.021.000-005,Apple IPhone 14 Pro,Динамік верхній (Speaker),0,,,
U.022.000-005,Apple IPhone 14 Pro,Динамік нижній (Buzzer),0,,,
U.023.000-041,Apple IPhone 14 Pro,Дисплейний модуль,4,79.9,ocapro,79.9$ ocapro (Опт — Дисплей iPhone 14 Pro OLED Soft 120 Hz) | 85.61$ ocapro (Роздріб — Дисплей iPhone 14 Pro OLED Soft 120 Hz) | 155.11$ ocapro (Опт — Дисплей iPhone 14 Pro OLED DD) | 166.19$ ocapro (Роздріб — Дисплей iPhone 14 Pro OLED DD)
U.023.000-004,Apple IPhone 14 Pro,Дисплейний модуль,4,79.9,ocapro,79.9$ ocapro (Опт — Дисплей iPhone 14 Pro OLED Soft 120 Hz) | 85.61$ ocapro (Роздріб — Дисплей iPhone 14 Pro OLED Soft 120 Hz) | 155.11$ ocapro (Опт — Дисплей iPhone 14 Pro OLED DD) | 166.19$ ocapro (Роздріб — Дисплей iPhone 14 Pro OLED DD)
U.025.000-006,Apple IPhone 14 Pro,Камера основна без лідару,0,,,
U.025.000-026,Apple iPhone 14,Камера основна без лідару,0,,,
U.025.000-018,Apple IPhone 14 Pro,Камера основна без лідару,0,,,
U.026.000-002,Apple IPhone 14 Pro,Камера основна з лідаром,0,,,
U.033.000-002,Apple IPhone 14 Pro,Комплект кнопок регулювання гучності та увімкнення,0,,,
U.035.000-010,Apple IPhone 14 Pro,Комплект скла основної камери,2,2.01,ocapro,2.01$ ocapro (Опт — Скло камери iPhone 14 Pro ORIG 3 шт.) | 2.16$ ocapro (Роздріб — Скло камери iPhone 14 Pro ORIG 3 шт.)
U.035.000-019,Apple IPhone 14 Pro,Комплект скла основної камери,2,2.01,ocapro,2.01$ ocapro (Опт — Скло камери iPhone 14 Pro ORIG 3 шт.) | 2.16$ ocapro (Роздріб — Скло камери iPhone 14 Pro ORIG 3 шт.)
U.035.000-020,Apple IPhone 14 Pro,Комплект скла основної камери,2,2.01,ocapro,2.01$ ocapro (Опт — Скло камери iPhone 14 Pro ORIG 3 шт.) | 2.16$ ocapro (Роздріб — Скло камери iPhone 14 Pro ORIG 3 шт.)
U.040.000-007,Apple IPhone 14 Pro,Корпус смартфону з кнопками,0,,,
U.040.000-009,Apple IPhone 14 Pro,Корпус смартфону з кнопками,0,,,
U.042.000-003,Apple IPhone 14 Pro,Датчик лідар,0,,,
U.049.000-001,Apple IPhone 14 Pro,Проклейка для ДМ,0,,,
U.061.000-002,Apple IPhone 14 Pro,Скло дисплейного модулю,26,1.65,ocapro,1.65$ ocapro (Опт — Скло дисплея iPhone 14 Pro ORIG 1:1) | 1.76$ ocapro (Роздріб — Скло дисплея iPhone 14 Pro ORIG 1:1) | 1.9$ refparts (Великий опт — Скло+ОСА MUSTTBY iPhone 14 Pro) | 1.95$ refparts (Середній опт — Скло+ОСА MUSTTBY iPhone 14 Pro) | 2.0$ ocapro (Опт — Скло дисплея iPhone 14 PRO+OCA ORIG 1:1) | 2.0$ refparts (Дрібний опт — Скло+ОСА MUSTTBY iPhone 14 Pro) | 2.12$ ocapro (Опт — Скло дисплея iPhone 14 PRO+OCA (Anti UV) ORIG 1:1) | 2.15$ ocapro (Роздріб — Скло дисплея iPhone 14 PRO+OCA ORIG 1:1) | 2.15$ refparts (Великий опт — Скло+ОСА G+OCA pro iPhone 14 Pro) | 2.2$ refparts (Середній опт — Скло+ОСА G+OCA pro iPhone 14 Pro) | 2.25$ refparts (Дрібний опт — Скло+ОСА G+OCA pro iPhone 14 Pro) | 2.27$ ocapro (Роздріб — Скло дисплея iPhone 14 PRO+OCA (Anti UV) ORIG 1:1) | 2.5$ refparts (Великий опт — Скло+ОСА+поляр G+OCA pro iPhone 14 Pro) | 2.55$ refparts (Середній опт — Скло+ОСА+поляр G+OCA pro iPhone 14 Pro) | 2.6$ refparts (Дрібний опт — Скло+ОСА+поляр G+OCA pro iPhone 14 Pro) | 2.77$ ocapro (Опт — Скло дисплея iPhone 14 PRO+Т-OCA ORIG 1:1) | 2.83$ ocapro (Опт — Скло дисплея iPhone 14 Pro+Polar+OCA ORIG 1:1) | 2.9$ refparts (Великий опт — Скло+ОСА Feaglet iPhone 14 Pro) | 2.95$ refparts (Середній опт — Скло+ОСА Feaglet iPhone 14 Pro) | 2.96$ ocapro (Роздріб — Скло дисплея iPhone 14 PRO+Т-OCA ORIG 1:1) | 3.0$ refparts (Дрібний опт — Скло+ОСА Feaglet iPhone 14 Pro) | 3.02$ ocapro (Роздріб — Скло дисплея iPhone 14 Pro+Polar+OCA ORIG 1:1) | 3.53$ ocapro (Опт — Скло дисплея iPhone 14 Pro + OCA ORIG 1:1 (Feaglet)) | 3.78$ ocapro (Роздріб — Скло дисплея iPhone 14 Pro + OCA ORIG 1:1 (Feaglet)) | 6.35$ ocapro (Опт — Скло дисплея iPhone 14 pro+OCA ORIG 99%) | 6.8$ ocapro (Роздріб — Скло дисплея iPhone 14 pro+OCA ORIG 99%)
U.061.000-029,Apple IPhone 14 Pro,Скло дисплейного модулю,26,1.65,ocapro,1.65$ ocapro (Опт — Скло дисплея iPhone 14 Pro ORIG 1:1) | 1.76$ ocapro (Роздріб — Скло дисплея iPhone 14 Pro ORIG 1:1) | 1.9$ refparts (Великий опт — Скло+ОСА MUSTTBY iPhone 14 Pro) | 1.95$ refparts (Середній опт — Скло+ОСА MUSTTBY iPhone 14 Pro) | 2.0$ ocapro (Опт — Скло дисплея iPhone 14 PRO+OCA ORIG 1:1) | 2.0$ refparts (Дрібний опт — Скло+ОСА MUSTTBY iPhone 14 Pro) | 2.12$ ocapro (Опт — Скло дисплея iPhone 14 PRO+OCA (Anti UV) ORIG 1:1) | 2.15$ ocapro (Роздріб — Скло дисплея iPhone 14 PRO+OCA ORIG 1:1) | 2.15$ refparts (Великий опт — Скло+ОСА G+OCA pro iPhone 14 Pro) | 2.2$ refparts (Середній опт — Скло+ОСА G+OCA pro iPhone 14 Pro) | 2.25$ refparts (Дрібний опт — Скло+ОСА G+OCA pro iPhone 14 Pro) | 2.27$ ocapro (Роздріб — Скло дисплея iPhone 14 PRO+OCA (Anti UV) ORIG 1:1) | 2.5$ refparts (Великий опт — Скло+ОСА+поляр G+OCA pro iPhone 14 Pro) | 2.55$ refparts (Середній опт — Скло+ОСА+поляр G+OCA pro iPhone 14 Pro) | 2.6$ refparts (Дрібний опт — Скло+ОСА+поляр G+OCA pro iPhone 14 Pro) | 2.77$ ocapro (Опт — Скло дисплея iPhone 14 PRO+Т-OCA ORIG 1:1) | 2.83$ ocapro (Опт — Скло дисплея iPhone 14 Pro+Polar+OCA ORIG 1:1) | 2.9$ refparts (Великий опт — Скло+ОСА Feaglet iPhone 14 Pro) | 2.95$ refparts (Середній опт — Скло+ОСА Feaglet iPhone 14 Pro) | 2.96$ ocapro (Роздріб — Скло дисплея iPhone 14 PRO+Т-OCA ORIG 1:1) | 3.0$ refparts (Дрібний опт — Скло+ОСА Feaglet iPhone 14 Pro) | 3.02$ ocapro (Роздріб — Скло дисплея iPhone 14 Pro+Polar+OCA ORIG 1:1) | 3.53$ ocapro (Опт — Скло дисплея iPhone 14 Pro + OCA ORIG 1:1 (Feaglet)) | 3.78$ ocapro (Роздріб — Скло дисплея iPhone 14 Pro + OCA ORIG 1:1 (Feaglet)) | 6.35$ ocapro (Опт — Скло дисплея iPhone 14 pro+OCA ORIG 99%) | 6.8$ ocapro (Роздріб — Скло дисплея iPhone 14 pro+OCA ORIG 99%)
